No dump file specified
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         38813        6564624  [B (java.base@15.0.1)
   2:          4685        2061512  [I (java.base@15.0.1)
   3:         30118         722832  java.lang.String (java.base@15.0.1)
   4:          5662         671408  java.lang.Class (java.base@15.0.1)
   5:          4717         644352  [Ljava.lang.Object; (java.base@15.0.1)
   6:         13382         428224  java.util.concurrent.ConcurrentHashMap$Node (java.base@15.0.1)
   7:             8         262272  [Ljava.util.concurrent.ForkJoinTask; (java.base@15.0.1)
   8:          8138         260416  java.util.HashMap$Node (java.base@15.0.1)
   9:          1648         145024  java.lang.reflect.Method (java.base@15.0.1)
  10:          2402         134512  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@15.0.1)
  11:            35         131656  [Ljava.nio.channels.SelectionKey; (java.base@15.0.1)
  12:          8203         131248  java.util.concurrent.atomic.AtomicReference (java.base@15.0.1)
  13:           109         128592  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@15.0.1)
  14:          1684         124360  [Ljava.util.HashMap$Node; (java.base@15.0.1)
  15:          6335         101360  java.lang.Object (java.base@15.0.1)
  16:          3838          97960  [Ljava.lang.Class; (java.base@15.0.1)
  17:          2558          83560  [S (java.base@15.0.1)
  18:          1294          82816  java.util.concurrent.ConcurrentHashMap (java.base@15.0.1)
  19:           293          82536  [C (java.base@15.0.1)
  20:          1662          79776  java.lang.invoke.MemberName (java.base@15.0.1)
  21:          1172          75008  io.netty.buffer.PoolSubpage
  22:          1491          71568  java.util.HashMap (java.base@15.0.1)
  23:            87          63792  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@15.0.1)
  24:          1583          63320  java.lang.ref.SoftReference (java.base@15.0.1)
  25:          1562          62480  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@15.0.1)
  26:          1483          59320  java.util.Collections$SingletonMap (java.base@15.0.1)
  27:          1415          56600  java.lang.invoke.MethodType (java.base@15.0.1)
  28:            80          53760  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  29:          1803          43272  java.lang.StringBuilder (java.base@15.0.1)
  30:          1076          43040  java.util.LinkedHashMap$Entry (java.base@15.0.1)
  31:           644          41216  java.lang.Class$ReflectionData (java.base@15.0.1)
  32:          1288          41216  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@15.0.1)
  33:           569          40968  java.lang.reflect.Constructor (java.base@15.0.1)
  34:            64          36864  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  35:            64          33792  [Ljava.util.concurrent.atomic.AtomicReference; (java.base@15.0.1)
  36:           614          30288  [Ljava.lang.String; (java.base@15.0.1)
  37:           132          29568  jdk.internal.org.objectweb.asm.MethodWriter (java.base@15.0.1)
  38:           541          25968  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@15.0.1)
  39:          1080          25920  java.lang.invoke.ResolvedMethodName (java.base@15.0.1)
  40:           462          25872  java.util.LinkedHashMap (java.base@15.0.1)
  41:           800          25600  java.util.Locale (java.base@15.0.1)
  42:           799          25568  sun.util.locale.BaseLocale (java.base@15.0.1)
  43:           780          24960  sun.util.locale.BaseLocale$Key (java.base@15.0.1)
  44:           251          24096  java.util.jar.JarFile$JarFileEntry (java.base@15.0.1)
  45:           368          23552  io.micronaut.inject.annotation.DefaultAnnotationMetadata
  46:           308          20944  [Ljava.lang.ref.SoftReference; (java.base@15.0.1)
  47:           283          18112  java.net.URL (java.base@15.0.1)
  48:           319          17864  jdk.internal.org.objectweb.asm.Label (java.base@15.0.1)
  49:           118          17584  [J (java.base@15.0.1)
  50:           714          17136  java.util.ArrayList (java.base@15.0.1)
  51:           531          16992  java.lang.invoke.LambdaForm$Name (java.base@15.0.1)
  52:           402          16080  io.micronaut.core.annotation.AnnotationValue
  53:           206          14832  java.lang.reflect.Field (java.base@15.0.1)
  54:            60          14064  [Z (java.base@15.0.1)
  55:           249          13944  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@15.0.1)
  56:           249          13944  java.util.zip.ZipFile$ZipFileInputStream (java.base@15.0.1)
  57:            31          13488  [Lio.netty.buffer.PoolSubpage;
  58:           519          12480  [Ljava.lang.reflect.Constructor; (java.base@15.0.1)
