No dump file specified
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        132124       25021408  [B (java.base@15.0.1)
   2:          6960        6063336  [I (java.base@15.0.1)
   3:         89916        2157984  java.lang.String (java.base@15.0.1)
   4:          8854        1379064  [Ljava.lang.Object; (java.base@15.0.1)
   5:         24887        1194576  java.util.HashMap (java.base@15.0.1)
   6:          4185         502016  java.lang.Class (java.base@15.0.1)
   7:         12229         391328  java.util.concurrent.ConcurrentHashMap$Node (java.base@15.0.1)
   8:         24310         388960  java.util.HashSet (java.base@15.0.1)
   9:          1596         379680  [C (java.base@15.0.1)
  10:          6750         378000  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@15.0.1)
  11:          1469         341384  [J (java.base@15.0.1)
  12:         13925         334200  java.lang.StringBuilder (java.base@15.0.1)
  13:           380         246240  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  14:          6852         219264  java.util.HashMap$Node (java.base@15.0.1)
  15:          2336         205568  java.lang.reflect.Method (java.base@15.0.1)
  16:           244         191616  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@15.0.1)
  17:           262         159840  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@15.0.1)
  18:          2312         147968  io.netty.buffer.PoolSubpage
  19:          1082         134432  [Ljava.util.HashMap$Node; (java.base@15.0.1)
  20:          4875         132648  [Ljava.lang.Class; (java.base@15.0.1)
  21:          1251         120096  java.util.jar.JarFile$JarFileEntry (java.base@15.0.1)
  22:          1785         114240  java.net.URL (java.base@15.0.1)
  23:          1154          92200  [S (java.base@15.0.1)
  24:          1840          88320  java.lang.invoke.MemberName (java.base@15.0.1)
  25:          2125          85000  java.lang.invoke.MethodType (java.base@15.0.1)
  26:           377          84448  jdk.internal.org.objectweb.asm.MethodWriter (java.base@15.0.1)
  27:          1671          80208  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@15.0.1)
  28:          4672          74752  java.lang.Object (java.base@15.0.1)
  29:            26          70120  [Ljava.nio.channels.SelectionKey; (java.base@15.0.1)
  30:          1186          66416  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@15.0.1)
